ensembl_id	gene_name	uniprot_id
ENSG00000278805	KIR2DL1	E7BWR8
ENSG00000278805	KIR2DL1	A0A0G2JQ06
ENSG00000278805	KIR2DL1	A0A0C4ZNX3
ENSG00000278805	KIR2DL1	A0A1W2PRZ1
ENSG00000278805	KIR2DL1	A0A0G2JQ05
ENSG00000278805	KIR2DL1	Q6H2H3
ENSG00000278805	KIR2DL1	A0A0G2JND8
ENSG00000278805	KIR2DL1	Q6H2H2
ENSG00000273575	KIR2DL4	A0A0C4ZNX8
ENSG00000273575	KIR2DL4	A0A0G2JNZ6
ENSG00000273575	KIR2DL4	A0A0G2JMV5
ENSG00000273575	KIR2DL4	A0A0G2JPS9
ENSG00000273575	KIR2DL4	A0A0G2JLM4
ENSG00000273575	KIR2DL4	A0A0G2JPN7
ENSG00000273575	KIR2DL4	A0A0G2JLM0
ENSG00000273575	KIR2DL4	A0A0G2JMF5
ENSG00000273575	KIR2DL4	A0A0G2JP28
ENSG00000273575	KIR2DL4	A0A0G2JMD1
ENSG00000273575	KIR2DL4	A0A0G2JNG7
ENSG00000273575	KIR2DL4	A0A0G2JNK6
ENSG00000273575	KIR2DL4	A0A376A929
ENSG00000273575	KIR2DL4	A0A0G2JPG6
ENSG00000273575	KIR2DL4	A0A0G2JPE3
ENSG00000273575	KIR2DL4	A0A0G2JNE8
ENSG00000273575	KIR2DL4	K7RE46
ENSG00000273575	KIR2DL4	Q8N736
ENSG00000273575	KIR2DL4	A0A376A8K3
ENSG00000273575	KIR2DL4	A0A0G2JNI1
ENSG00000273575	KIR2DL4	Q86U48
ENSG00000273575	KIR2DL4	A0A0B4J1S6
ENSG00000273575	KIR2DL4	A0A0G2JQ39
ENSG00000273575	KIR2DL4	E7EST5
ENSG00000273575	KIR2DL4	A0A0G2JQ13
ENSG00000273575	KIR2DL4	A0A0G2JN69
ENSG00000273575	KIR2DL4	K7QUT1
ENSG00000273575	KIR2DL4	A0A0G2JMQ9
ENSG00000273575	KIR2DL4	A0A0G2JLN0
ENSG00000277620	KIR3DL3	A0A0B4J1R5
ENSG00000277620	KIR3DL3	Q8N743
ENSG00000277620	KIR3DL3	A0A0G2JNR7
ENSG00000277620	KIR3DL3	A0A7D4XVW4
ENSG00000277620	KIR3DL3	A0A0G2JM20
ENSG00000277620	KIR3DL3	A0A0G2JPI1
ENSG00000277620	KIR3DL3	A0A0G2JQ37
ENSG00000277620	KIR3DL3	A0A0G2JLS9
ENSG00000277620	KIR3DL3	A0A0G2JNJ1
ENSG00000277620	KIR3DL3	A0A0C4ZQX3
ENSG00000277620	KIR3DL3	A0A0G2JNI5
ENSG00000277620	KIR3DL3	A0A0G2JLZ2
ENSG00000277620	KIR3DL3	A0A0G2JN57
ENSG00000277620	KIR3DL3	A0A0G2JPB3
ENSG00000277620	KIR3DL3	A0A191URH1
ENSG00000277620	KIR3DL3	A0A0C4ZR07
ENSG00000277620	KIR3DL3	A0A0C4ZN08
ENSG00000277620	KIR3DL3	A0A0C4ZNX4
ENSG00000277620	KIR3DL3	A0A0G2JMQ2
ENSG00000277620	KIR3DL3	A0A191URG8
ENSG00000277620	KIR3DL3	A0A0G2JM09
ENSG00000277345	KIR2DS4	P43632
ENSG00000277345	KIR2DS4	A0A1W2PQ83
ENSG00000277345	KIR2DS4	A0A0C4ZN30
ENSG00000277345	KIR2DS4	A0A0G2JNN1
ENSG00000277345	KIR2DS4	A0A0C4ZN05
ENSG00000277345	KIR2DS4	A0A0G2JMV9
ENSG00000276424	KIR3DL2	A0A191URK3
ENSG00000276424	KIR3DL2	A0A0U5FLC8
ENSG00000276424	KIR3DL2	P43630
ENSG00000276424	KIR3DL2	A0A1W2PPV3
ENSG00000276424	KIR3DL2	A0A0G2JN45
